Project,Source,Capacity_MW,Status,Latitude,Longitude,Location
Garadagh Solar PV,Solar,230,Opened in 2023; operational in 2024,40.0453,49.3406,"Alat, Garadagh district"
Boyukshor Floating Solar,Solar,0.1,Opened in 2024,40.4435,49.8807,"Lake Boyukshor, Baku"
Shafag Solar (Jabrayil),Solar,240,Groundbreaking in 2024,39.3987,47.0245,Jabrayil district
Masdar – Bilasuvar Solar,Solar,445,Contract signed in 2024,39.4864,48.3955,Bilasuvar district
Masdar – Neftchala Solar,Solar,315,Contract signed in 2024,39.3832,49.2181,"Banka village, Neftchala district"
Masdar – Absheron–Garadagh Wind,Wind,240,Contract signed in 2024,40.3208,49.4384,Absheron–Garadagh area
Gobustan Solar (EBRD auction),Solar,100,Tender awarded in 2024,40.0809,49.3876,Gobustan district
Elecnor – Garadagh Wind,Wind,70,Memorandum signed in 2024,40.0453,49.3406,Garadagh district
China Energy – Fuzuli Solar,Solar,160,Implementation agreement in 2024,39.6003,47.1431,Fuzuli district
Nobel Energy – Jabrayil Solar,Solar,100,Memorandum signed in 2024,39.3987,47.0245,Jabrayil district
